Datetime;Price;Source;Tag;Note;Link
2023-02-01 00:00:00;1783;planify;;;
2023-08-11 00:00:00;1990;planify;;;
2023-11-13 00:00:00;1990;planify;;;
2024-02-05 00:00:00;8659;planify;;;
2024-04-25 00:00:00;8659;planify;;;
2024-07-04 00:00:00;8659;planify;;;
2024-08-15 00:00:00;8659;planify;;;
2024-10-10 00:00:00;8659;planify;;;
2024-11-14 00:00:00;8659;planify;;;
2024-12-13 00:00:00;8659;planify;;;
2025-01-08 00:00:00;8659;planify;;;
2025-02-17 00:00:00;8659;planify;;;
2025-04-15 00:00:00;8659;planify;;;
2025-05-05 00:00:00;8659;planify;;;
2025-05-23 00:00:00;8659;planify;;;
2025-06-08 00:00:00;8659;planify;;;
2025-06-27 00:00:00;8659;planify;;;
2025-07-15 00:00:00;8659;planify;;;
2025-08-01 00:00:00;8659;planify;;;
2025-08-16 00:00:00;8659;planify;;;
2025-08-31 00:00:00;8659;planify;;;
2025-09-20 00:00:00;8659;planify;;;
2025-10-08 00:00:00;8659;planify;;;
2025-10-23 00:00:00;8659;planify;;;
2025-11-06 00:00:00;8659;planify;;;
2025-11-21 00:00:00;8659;planify;;;
2025-12-08 00:00:00;8659;planify;;;
2025-12-22 00:00:00;8659;planify;;;
2026-01-06 00:00:00;8659;planify;;;
2026-01-22 00:00:00;8659;planify;;;
2026-04-12 00:00:00;8659;planify;;;
2026-04-23 00:00:00;8659;planify;;;
